Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type
YOL096C;COQ3;Verified;COenzyme Q;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YOL143C;RIB4;Verified;RIBoflavin biosynthesis;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YOR065W;CYT1;Verified;;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YOR065W;CYT1;Verified;;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YOR065W;CYT1;Verified;;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YOR125C;CAT5;Verified;CATabolite repression;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YOR125C;CAT5;Verified;CATabolite repression;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YOR136W;IDH2;Verified;Isocitrate DeHydrogenase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YOR142W;LSC1;Verified;Ligase of Succinyl-CoA;null;Respiratory growth;decreased rate;S288C;;;glycerol;YPD;;glucose;;nonfermentable carbon source (2% glycerol);;19300474;
YOR155C;ISN1;Verified;IMP-Specific 5'-Nucleotidase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;19751518;
YOR201C;MRM1;Verified;Mitochondrial rRNA Methyltransferase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YOR201C;MRM1;Verified;Mitochondrial rRNA Methyltransferase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YOR221C;MCT1;Verified;Malonyl-CoA:ACP Transferase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YOR221C;MCT1;Verified;Malonyl-CoA:ACP Transferase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YOR241W;MET7;Verified;METhionine requiring;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YOR241W;MET7;Verified;METhionine requiring;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YOR332W;VMA4;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YOR360C;PDE2;Verified;PhosphoDiEsterase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YOR375C;GDH1;Verified;Glutamate DeHydrogenase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;19751518;
YPL040C;ISM1;Verified;Isoleucyl tRNA Synthetase of Mitochondria;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YPL040C;ISM1;Verified;Isoleucyl tRNA Synthetase of Mitochondria;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YPL059W;GRX5;Verified;GlutaRedoXin;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YPL061W;ALD6;Verified;ALdehyde Dehydrogenase;null;Respiratory growth;increased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YPL078C;ATP4;Verified;ATP synthase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YPL078C;ATP4;Verified;ATP synthase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YPL097W;MSY1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, tyrosine (Y);null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YPL097W;MSY1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, tyrosine (Y);null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YPL104W;MSD1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, Aspartate (D);null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YPL104W;MSD1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, Aspartate (D);null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YPL148C;PPT2;Verified;Phosphopantetheine:Protein Transferase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YPL148C;PPT2;Verified;Phosphopantetheine:Protein Transferase;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YPL148C;PPT2;Verified;Phosphopantetheine:Protein Transferase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YPL172C;COX10;Verified;Cytochrome c OXidase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YPL172C;COX10;Verified;Cytochrome c OXidase;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YPL172C;COX10;Verified;Cytochrome c OXidase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518 + 19300474;
YPL188W;POS5;Verified;PerOxide Sensitive;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YPL234C;VMA11;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YPL234C;VMA11;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;decreased rate;S288C;glycerol, ethanol;;glycerol, ethanol;YNBD;;riboflavin, ammonium, folic acid, uracil, glucose;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;;;23021432;
YPL234C;VMA11;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YPL262W;FUM1;Verified;FUMarase;null;Respiratory growth;absent;S288C;ethanol (2%), glycerol (2%);;ethanol, acetate;YPD;;glucose;;nonfermentable carbon sources;;18577574;
YPL262W;FUM1;Verified;FUMarase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YPL262W;FUM1;Verified;FUMarase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518 + 19300474;
